balls,mcts_sims,seed,n_episodes,n_unique,best_score,n_solving,first_solver_unique_index,count_solver,count_reasonable,count_degenerate
1,128,0,64,64,-0.05,0,,0,0,64
1,128,1,64,64,1.22,1,25,1,0,63
1,128,2,64,64,-0.05,0,,0,0,64
1,128,3,64,64,1.22,1,23,1,0,63
1,128,4,64,64,1.22,1,2,1,0,63
1,512,0,32,32,-0.05,0,,0,0,32
1,512,1,32,32,1.22,1,24,1,0,31
1,512,2,32,32,1.22,1,6,1,0,31
1,512,3,32,32,1.22,1,27,1,0,31
1,512,4,32,32,-0.05,0,,0,0,32
1,2048,0,16,16,-0.05,0,,0,0,16
1,2048,1,16,16,-0.05,0,,0,0,16
1,2048,2,16,16,-0.05,0,,0,0,16
1,2048,3,16,16,-0.05,0,,0,0,16
1,2048,4,16,16,1.22,1,15,1,0,15
2,512,0,32,32,-0.05,0,,0,0,32
2,512,1,32,32,1.18,2,3,2,0,30
2,512,2,32,32,-0.05,0,,0,0,32
2,512,3,32,32,-0.05,0,,0,0,32
2,512,4,32,32,-0.05,0,,0,0,32
2,2048,0,16,16,-0.05,0,,0,0,16
2,2048,1,16,16,-0.05,0,,0,0,16
2,2048,2,16,16,-0.05,0,,0,0,16
2,2048,3,16,16,-0.05,0,,0,0,16
2,2048,4,16,16,1.18,2,8,2,1,13
